Entrez ID	Symbol	Type	Entrez.ID
9270	ITGB1BP1	landmark	9270
9274	BCL7C	best inferred	9274
56180	MOSPD1	best inferred	56180
9275	BCL7B	landmark	9275
9289	ADGRG1	landmark	9289
9282	MED14	best inferred	9282
9283	GPR37L1	best inferred	9283
9284	NPIPA1	best inferred	9284
93129	ORAI3	best inferred	93129
9296	ATP6V1F	best inferred	9296
9295	SRSF11	best inferred	9295
22998	LIMCH1	best inferred	22998
22999	RIMS1	best inferred	22999
22990	PCNX1	best inferred	22990
22992	KDM2A	best inferred	22992
22993	HMGXB3	best inferred	22993
22994	CEP131	best inferred	22994
22995	CEP152	best inferred	22995
22996	TTC39A	best inferred	22996
22997	IGSF9B	best inferred	22997
729230	CCR2	best inferred	729230
57634	EP400	best inferred	57634
150726	FBXO41	best inferred	150726
56300	IL36G	best inferred	56300
56301	SLC7A10	best inferred	56301
22976	PAXIP1	best inferred	22976
22977	AKR7A3	best inferred	22977
22978	NT5C2	best inferred	22978
22979	EFR3B	best inferred	22979
22974	TPX2	best inferred	22974
10998	SLC27A5	best inferred	10998
57644	MYH7B	best inferred	57644
57645	POGK	best inferred	57645
10990	LILRB5	best inferred	10990
10992	SF3B2	best inferred	10992
10994	ILVBL	best inferred	10994
10993	SDS	best inferred	10993
22980	TCF25	best inferred	22980
22981	NINL	best inferred	22981
22982	DIP2C	best inferred	22982
22983	MAST1	best inferred	22983
22984	PDCD11	best inferred	22984
22985	ACIN1	best inferred	22985
22986	SORCS3	best inferred	22986
58986	TMEM8A	best inferred	58986
57658	CALCOCO1	best inferred	57658
58985	IL22RA1	best inferred	58985
22954	TRIM32	best inferred	22954
22955	SCMH1	best inferred	22955
22950	SLC4A1AP	best inferred	22950
55003	PAK1IP1	best inferred	55003
10975	UQCR11	best inferred	10975
55002	TMCO3	best inferred	55002
10978	CLP1	best inferred	10978
55001	TTC22	best inferred	55001
55000	TUG1	best inferred	55000
57669	EPB41L5	best inferred	57669
10979	FERMT2	best inferred	10979
55006	TRMT61B	best inferred	55006
55005	RMND1	best inferred	55005
57664	PLEKHA4	best inferred	57664
